Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AirQuality_Class
9/4/2004,22:00:00,1.6,980,-200,8.0,901,-200,812,-200,1369,731,29.7,25.4,1.044,3
8/7/2004,19:00:00,1.6,990,-200,8.3,912,65,777,86,1648,689,32.2,37.4,1.7655,3
2/4/2005,14:00:00,1.9,1084,-200,8.6,923,312,712,149,1085,1046,12.9,31.8,0.4707,3
3/21/2005,1:00:00,1.6,1095,-200,4.7,746,177,716,104,1217,916,13.3,66.4,1.0128,3
8/8/2004,22:00:00,1.9,1124,-200,10.4,992,87,660,93,1791,1013,27.1,54.7,1.9284,3
3/15/2004,1:00:00,1.8,1239,73,6.9,853,106,1010,93,1543,1174,14.0,57.0,0.9094,3
7/5/2004,16:00:00,1.8,1087,-200,11.1,1018,130,791,132,1624,883,40.1,16.1,1.1699,3
2/10/2005,0:00:00,2.0,-200,-200,-200.0,-200,161,-200,126,-200,-200,-200.0,-200.0,-200.0,3
12/23/2004,0:00:00,2.0,973,-200,5.4,785,241,916,127,883,1086,5.2,44.1,0.3939,3
12/11/2004,22:00:00,2.0,1124,-200,9.0,939,292,737,118,1126,1317,11.2,45.1,0.6004,3
7/23/2004,23:00:00,1.8,1169,-200,13.0,1084,116,655,91,1831,1273,28.5,38.4,1.468,3
11/9/2004,17:00:00,1.6,1013,-200,8.1,905,-200,816,-200,1201,923,11.0,58.8,0.7705,3
3/8/2005,12:00:00,1.9,959,-200,7.4,875,421,797,191,864,1006,13.7,17.4,0.2715,3
3/10/2005,17:00:00,1.9,1048,-200,8.6,925,284,721,137,1022,941,19.8,16.0,0.3632,3
11/5/2004,8:00:00,2.0,1210,-200,16.3,1188,305,583,75,1575,1129,16.2,70.1,1.2837,3
4/24/2004,15:00:00,1.7,1223,192,9.0,938,91,884,89,1610,880,25.6,36.0,1.1629,3
1/12/2005,7:00:00,1.8,1182,-200,9.3,951,479,634,109,1327,1143,8.8,79.4,0.9033,3
12/13/2004,2:00:00,1.8,995,-200,5.9,807,213,978,90,1056,1044,6.7,64.6,0.6381,3
9/10/2004,22:00:00,1.6,1063,-200,9.2,946,205,886,127,1391,996,26.0,33.4,1.1071,3
6/15/2004,22:00:00,2.0,969,-200,10.1,983,97,853,101,1680,862,23.9,40.9,1.1966,3
11/13/2004,0:00:00,1.6,961,-200,5.0,765,217,865,108,1212,811,15.6,60.0,1.0594,3
6/11/2004,12:00:00,2.0,1096,-200,13.1,1087,120,801,111,1759,910,35.9,19.6,1.1422,3
4/6/2004,21:00:00,1.8,1095,227,8.5,918,91,896,90,1527,800,15.7,49.4,0.8768,3
1/1/2005,4:00:00,1.9,1054,-200,5.6,791,253,830,126,967,1131,4.3,55.3,0.465,3
2/2/2005,23:00:00,1.7,1097,-200,7.8,892,287,719,167,979,1423,4.9,45.9,0.3999,3
2/5/2005,0:00:00,1.6,1041,-200,5.3,778,266,828,166,947,1011,5.5,49.0,0.4471,3
12/17/2004,6:00:00,2.0,-200,-200,-200.0,-200,469,-200,111,-200,-200,-200.0,-200.0,-200.0,3
1/31/2005,8:00:00,1.8,1049,-200,7.1,863,350,826,198,923,979,3.7,33.9,0.2732,3
1/21/2005,6:00:00,1.6,1206,-200,9.2,948,357,628,121,1129,1540,5.9,65.8,0.6178,3
2/18/2005,14:00:00,1.6,1006,-200,6.6,837,208,775,146,971,757,10.9,32.6,0.426,3
4/1/2004,13:00:00,1.7,1125,179,8.6,924,102,937,73,1542,790,21.8,33.9,0.8771,3
6/19/2004,20:00:00,1.7,-200,-200,-200.0,-200,88,-200,91,-200,-200,-200.0,-200.0,-200.0,3
12/11/2004,0:00:00,1.6,857,-200,4.8,753,261,1034,116,860,754,12.4,24.0,0.3443,3
7/23/2004,22:00:00,1.7,1144,-200,11.0,1014,110,712,86,1744,1146,29.0,36.6,1.4431,3
9/19/2004,16:00:00,1.8,1045,-200,8.3,910,193,878,106,1385,742,34.6,22.4,1.212,3
10/8/2004,6:00:00,1.7,1147,-200,10.8,1009,279,653,50,1589,1096,18.2,70.0,1.4519,3
3/13/2004,14:00:00,2.0,1207,112,8.6,924,118,1088,102,1488,850,18.0,34.8,0.7127,3
3/28/2005,17:00:00,1.6,1176,-200,6.2,822,213,704,109,1294,778,24.2,38.1,1.1357,3
6/15/2004,14:00:00,2.0,1017,-200,12.2,1057,122,859,112,1698,861,35.3,19.6,1.1036,3
2/5/2005,3:00:00,1.6,1105,-200,6.4,828,-200,735,-200,997,1157,2.1,64.2,0.4633,3
12/1/2004,22:00:00,1.8,1040,-200,7.1,859,280,1705,107,1293,889,11.1,84.3,1.1137,3
3/22/2004,10:00:00,1.8,1074,-200,6.9,854,115,1032,83,1484,772,17.9,38.4,0.7793,3
1/21/2005,23:00:00,1.7,1508,-200,18.2,1246,797,496,207,1498,1791,8.1,73.8,0.7968,3
6/25/2004,10:00:00,1.9,1049,-200,8.0,898,153,858,113,1671,921,29.9,33.2,1.3793,3
8/9/2004,20:00:00,1.9,1091,-200,8.6,925,81,730,95,1685,1020,29.8,41.7,1.7167,3
6/28/2004,15:00:00,2.0,1167,-200,13.1,1087,112,741,129,1820,928,40.4,20.0,1.4854,3
1/6/2005,0:00:00,1.6,1056,-200,5.6,795,203,783,115,1187,896,12.5,63.7,0.9196,3
7/14/2004,12:00:00,1.9,949,-200,12.6,1069,144,819,106,1547,905,35.1,15.0,0.8381,3
2/10/2005,7:00:00,1.9,-200,-200,-200.0,-200,214,-200,156,-200,-200,-200.0,-200.0,-200.0,3
3/16/2004,23:00:00,1.7,1201,88,9.1,943,130,935,117,1560,1362,16.7,48.9,0.9226,3
7/7/2004,12:00:00,2.0,1119,-200,13.1,1088,155,741,149,1640,1124,40.4,14.5,1.0736,3
9/17/2004,12:00:00,1.6,962,-200,9.0,940,209,889,89,1441,855,22.8,41.8,1.1417,3
2/14/2005,22:00:00,1.7,950,-200,6.6,839,287,834,169,878,977,9.4,24.8,0.2923,3
6/22/2004,21:00:00,1.8,959,-200,9.3,949,104,857,93,1640,949,25.2,36.4,1.1528,3
3/25/2005,23:00:00,2.0,1286,-200,10.1,982,268,550,117,1458,1353,17.7,63.5,1.27,3
3/27/2005,0:00:00,1.6,1166,-200,6.4,829,200,632,102,1338,1133,16.3,65.2,1.1982,3
7/5/2004,22:00:00,1.9,1081,-200,11.3,1025,104,738,103,1757,1059,27.3,36.8,1.3207,3
12/5/2004,12:00:00,1.7,1013,-200,5.6,795,209,826,81,1257,848,13.0,69.7,1.0403,3
11/6/2004,10:00:00,1.7,1121,-200,10.9,1012,254,650,80,1436,1060,18.4,61.3,1.2854,3
3/23/2004,21:00:00,1.7,1089,87,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881,3
6/19/2004,10:00:00,1.6,1095,-200,8.6,923,109,843,98,1736,999,29.3,35.9,1.4411,3
12/4/2004,19:00:00,1.9,1077,-200,6.9,852,325,773,108,1302,969,13.1,80.4,1.2038,3
4/24/2004,13:00:00,1.9,1200,238,8.7,929,84,879,74,1623,972,26.9,32.1,1.1217,3
8/1/2004,22:00:00,1.7,1142,-200,9.1,945,73,682,83,1736,793,27.8,52.6,1.9398,3
12/4/2004,5:00:00,1.7,1032,-200,6.8,848,277,751,71,1266,972,11.4,81.1,1.0928,3
2/2/2005,5:00:00,2.0,1040,-200,3.6,688,185,846,115,920,1090,3.7,62.9,0.5059,3
2/11/2005,4:00:00,1.6,-200,-200,-200.0,-200,107,-200,91,-200,-200,-200.0,-200.0,-200.0,3
7/1/2004,15:00:00,1.9,1163,-200,11.7,1039,118,723,121,1814,888,37.8,26.9,1.7392,3
8/8/2004,22:00:00,1.9,1124,-200,10.4,992,87,660,93,1791,1013,27.1,54.7,1.9284,3
11/18/2004,2:00:00,2.0,987,-200,5.6,794,225,852,119,1106,971,8.5,65.0,0.7221,3
6/11/2004,12:00:00,2.0,1096,-200,13.1,1087,120,801,111,1759,910,35.9,19.6,1.1422,3
3/31/2005,9:00:00,1.9,1064,-200,6.8,848,275,692,139,1212,1014,20.3,40.1,0.9439,3
4/7/2004,15:00:00,1.9,1177,117,7.5,880,146,927,104,1552,776,10.9,76.4,0.9953,3
10/10/2004,11:00:00,1.9,1229,-200,9.0,941,220,680,68,1653,1040,24.8,59.6,1.8351,3
3/10/2004,22:00:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,3
9/4/2004,22:00:00,1.6,980,-200,8.0,901,-200,812,-200,1369,731,29.7,25.4,1.044,3
9/27/2004,9:00:00,1.8,951,-200,8.2,908,275,873,94,1314,904,19.7,40.2,0.9108,3
4/2/2004,0:00:00,2.0,1139,157,8.0,899,126,921,104,1514,1067,14.1,54.4,0.8701,3
6/26/2004,19:00:00,1.9,1100,-200,9.2,946,111,827,98,1726,932,30.5,33.9,1.4564,3
3/22/2005,17:00:00,1.7,1147,-200,8.4,914,215,633,113,1233,801,22.9,29.2,0.8055,3
3/2/2005,10:00:00,2.0,1042,-200,8.3,910,438,774,181,922,1216,4.6,32.5,0.2783,3
1/9/2005,23:00:00,1.9,1180,-200,7.5,877,242,680,128,1297,1131,14.0,60.4,0.9622,3
4/30/2004,6:00:00,1.7,1206,111,9.3,949,162,818,90,1771,1116,15.9,73.1,1.3136,3
1/30/2005,20:00:00,1.6,917,-200,3.9,708,248,972,163,787,670,5.0,31.1,0.273,3
6/17/2004,13:00:00,1.8,1014,-200,9.4,954,118,865,103,1697,818,29.4,32.9,1.3244,3
7/17/2004,17:00:00,1.6,1100,-200,9.4,954,87,809,106,1512,1360,40.1,14.9,1.0828,3
6/12/2004,12:00:00,1.8,1126,-200,10.0,979,110,849,101,1700,907,31.9,25.8,1.2023,3
1/28/2005,8:00:00,1.6,1024,-200,6.2,823,274,827,167,992,879,4.2,48.7,0.4073,3
3/21/2004,12:00:00,1.8,1267,-200,7.6,883,103,953,82,1617,906,19.4,46.1,1.0249,3
3/15/2005,15:00:00,1.9,1191,-200,10.9,1011,305,620,146,1262,903,23.6,23.2,0.6665,3
8/27/2004,11:00:00,1.8,-200,-200,-200.0,-200,119,-200,101,-200,-200,-200.0,-200.0,-200.0,3
1/6/2005,0:00:00,1.6,1056,-200,5.6,795,203,783,115,1187,896,12.5,63.7,0.9196,3
4/24/2004,13:00:00,1.9,1200,238,8.7,929,84,879,74,1623,972,26.9,32.1,1.1217,3
1/5/2005,4:00:00,2.0,1219,-200,7.7,889,260,649,111,1186,1405,7.9,72.1,0.7679,3
3/26/2005,8:00:00,1.7,1248,-200,9.0,939,281,565,93,1458,1229,16.5,68.1,1.2653,3
11/10/2004,9:00:00,2.0,1021,-200,9.5,959,332,760,149,1297,910,7.9,73.5,0.7883,3
2/25/2005,12:00:00,1.7,1021,-200,6.6,839,298,771,153,1084,914,13.0,40.3,0.6028,3
8/15/2004,22:00:00,1.6,982,-200,8.2,906,79,784,91,1561,1002,28.4,34.4,1.314,3
3/13/2004,2:00:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256,3
2/7/2005,13:00:00,1.6,981,-200,6.2,820,265,807,168,876,784,12.2,21.4,0.3033,3
7/2/2004,12:00:00,1.8,1160,-200,11.7,1040,122,720,108,1810,961,35.6,27.2,1.5557,3
10/22/2004,23:00:00,1.7,1158,-200,9.8,970,196,664,73,1509,1202,20.3,68.1,1.6009,3
9/4/2004,13:00:00,1.8,1062,-200,9.8,969,-200,729,-200,1459,782,37.1,21.2,1.3107,3
4/27/2004,11:00:00,1.7,1066,128,8.8,931,118,979,81,1474,757,24.8,25.3,0.7793,3
11/7/2004,22:00:00,1.8,927,-200,7.3,868,255,847,117,1155,864,12.7,51.2,0.7505,3
3/4/2005,2:00:00,1.7,1089,-200,4.7,750,241,765,138,1108,1117,3.9,80.9,0.6613,3
12/26/2004,13:00:00,1.8,1130,-200,5.8,803,267,772,127,1230,975,13.9,60.9,0.9644,3
3/23/2004,18:00:00,1.9,1065,151,9.3,953,107,962,97,1514,790,13.7,49.5,0.7695,3
10/8/2004,0:00:00,1.7,1147,-200,9.6,964,165,668,60,1517,1116,20.6,62.0,1.4827,3
8/19/2004,19:00:00,1.7,1116,-200,9.3,952,62,702,66,1759,895,33.9,37.1,1.9264,3
3/6/2005,17:00:00,1.7,973,-200,5.3,778,257,839,167,916,723,11.5,30.1,0.4067,3
12/26/2004,1:00:00,1.6,1161,-200,6.0,810,231,775,117,1281,958,11.6,80.0,1.0924,3
4/24/2004,21:00:00,2.0,1169,202,6.8,850,88,906,79,1584,873,15.6,73.5,1.2953,3
1/10/2005,23:00:00,1.7,1177,-200,7.3,871,244,660,116,1292,1192,12.7,69.9,1.0223,3
2/8/2005,18:00:00,1.8,-200,-200,-200.0,-200,295,-200,194,-200,-200,-200.0,-200.0,-200.0,3
5/22/2004,13:00:00,2.0,1246,-200,12.6,1070,104,770,84,1747,1064,27.9,28.1,1.0394,3
9/4/2004,7:00:00,1.7,1088,-200,9.1,945,-200,636,-200,1613,1165,22.0,55.4,1.4436,3
10/24/2004,23:00:00,1.7,1081,-200,9.0,938,181,697,62,1517,1273,18.4,71.5,1.5038,3
8/6/2004,21:00:00,1.7,1019,-200,9.8,971,103,692,94,1760,1057,25.5,58.0,1.8611,3
3/22/2005,17:00:00,1.7,1147,-200,8.4,914,215,633,113,1233,801,22.9,29.2,0.8055,3
10/10/2004,16:00:00,1.7,1131,-200,6.6,841,254,784,82,1531,811,19.6,79.1,1.7877,3
9/19/2004,22:00:00,1.7,1077,-200,8.5,920,169,778,99,1509,935,23.6,50.0,1.4383,3
10/1/2004,6:00:00,1.6,1124,-200,9.8,972,279,674,69,1568,1092,18.8,71.8,1.5372,3
10/7/2004,22:00:00,1.7,1182,-200,11.0,1016,209,658,73,1572,1210,21.8,58.2,1.5036,3
12/9/2004,0:00:00,1.9,1054,-200,5.5,789,241,886,100,1254,864,14.2,71.7,1.1578,3
7/12/2004,11:00:00,1.6,957,-200,7.4,875,172,891,102,1525,871,25.7,33.0,1.0763,3
2/7/2005,21:00:00,1.6,988,-200,4.5,738,209,843,154,906,893,7.1,39.6,0.4019,3
9/27/2004,15:00:00,1.8,969,-200,9.6,962,244,829,107,1316,856,23.3,28.3,0.8012,3
2/3/2005,0:00:00,1.7,1032,-200,5.6,791,242,793,156,915,1278,4.5,47.9,0.4079,3
9/5/2004,19:00:00,1.7,951,-200,7.0,859,-200,897,-200,1267,718,29.3,20.4,0.8162,3
3/11/2005,15:00:00,1.7,1260,-200,12.3,1059,417,544,180,1319,1161,19.3,29.9,0.6604,3
8/11/2004,10:00:00,1.8,1179,-200,9.5,957,105,680,67,1819,1131,33.6,41.0,2.0995,3
7/17/2004,1:00:00,1.6,977,-200,9.4,956,93,765,93,1581,1114,23.6,39.2,1.1306,3
1/13/2005,22:00:00,2.0,1126,-200,7.5,880,260,690,107,1202,1177,8.8,71.0,0.8089,3
11/26/2004,7:00:00,1.7,1118,-200,8.4,915,393,731,95,1289,1059,9.3,76.9,0.9007,3
5/31/2004,10:00:00,1.6,1111,-200,14.1,1120,161,839,121,1790,1141,25.6,33.3,1.0773,3
9/24/2004,20:00:00,2.0,985,-200,5.8,805,240,895,107,1390,785,15.4,76.6,1.3334,3
7/24/2004,11:00:00,1.7,1103,-200,9.2,946,87,737,89,1686,934,36.6,26.5,1.599,3
2/9/2005,15:00:00,2.0,-200,-200,-200.0,-200,208,-200,144,-200,-200,-200.0,-200.0,-200.0,3
10/31/2004,0:00:00,2.0,1076,-200,7.9,895,270,757,86,1492,939,19.3,70.4,1.5578,3
6/14/2004,8:00:00,1.8,993,-200,8.7,927,151,886,96,1665,842,21.5,44.5,1.129,3
3/21/2005,1:00:00,1.6,1095,-200,4.7,746,177,716,104,1217,916,13.3,66.4,1.0128,3
8/26/2004,9:00:00,1.7,-200,-200,-200.0,-200,104,-200,87,-200,-200,-200.0,-200.0,-200.0,3
6/9/2004,16:00:00,2.0,1052,-200,11.1,1019,140,896,125,1610,836,40.3,14.2,1.0494,3
9/18/2004,9:00:00,1.6,982,-200,7.9,895,233,892,89,1413,859,24.3,39.5,1.1842,3
2/11/2005,2:00:00,2.0,-200,-200,-200.0,-200,149,-200,116,-200,-200,-200.0,-200.0,-200.0,3
3/21/2004,12:00:00,1.8,1267,-200,7.6,883,103,953,82,1617,906,19.4,46.1,1.0249,3
11/15/2004,13:00:00,1.8,867,-200,6.7,842,300,909,104,1077,737,13.5,34.9,0.5393,3
6/27/2004,9:00:00,1.6,1063,-200,7.9,894,104,823,100,1688,1025,27.2,41.1,1.4611,3
3/28/2004,20:00:00,1.8,1093,115,5.5,789,105,1102,103,1329,788,13.4,43.2,0.6623,3
9/27/2004,13:00:00,1.9,937,-200,9.1,942,226,852,90,1276,773,22.3,29.5,0.7838,3
3/9/2005,16:00:00,1.7,1201,-200,7.6,882,198,638,102,1189,948,17.6,34.1,0.6781,3
7/13/2004,23:00:00,1.9,971,-200,11.0,1014,155,788,111,1585,1115,24.3,31.1,0.9316,3
2/9/2005,15:00:00,2.0,-200,-200,-200.0,-200,208,-200,144,-200,-200,-200.0,-200.0,-200.0,3
11/4/2004,0:00:00,1.8,1043,-200,9.9,975,216,675,66,1489,1041,18.7,69.0,1.4727,3
8/27/2004,16:00:00,1.6,-200,-200,-200.0,-200,96,-200,92,-200,-200,-200.0,-200.0,-200.0,3
12/13/2004,2:00:00,1.8,995,-200,5.9,807,213,978,90,1056,1044,6.7,64.6,0.6381,3
1/28/2005,17:00:00,1.9,-200,-200,-200.0,-200,256,-200,164,-200,-200,-200.0,-200.0,-200.0,3
8/12/2004,19:00:00,1.6,1017,-200,8.7,929,67,772,86,1702,709,32.1,38.7,1.819,3
7/14/2004,13:00:00,2.0,944,-200,11.9,1045,162,829,106,1525,884,34.1,16.0,0.8408,3
5/1/2004,2:00:00,1.6,1047,-200,6.5,833,85,939,71,1647,1081,16.5,70.2,1.3099,3
4/26/2004,21:00:00,1.6,1017,99,6.7,842,89,1000,101,1441,846,17.3,38.8,0.7596,3
11/29/2004,15:00:00,1.9,1166,-200,10.8,1007,289,775,117,1391,1227,18.4,49.9,1.0453,3
3/27/2004,15:00:00,1.9,1046,150,7.6,883,113,1051,101,1357,765,17.8,28.4,0.5737,3
2/14/2005,10:00:00,1.7,1096,-200,11.6,1036,254,635,168,1043,1127,11.5,39.6,0.5372,3
7/2/2004,15:00:00,1.7,1124,-200,11.2,1021,115,745,119,1735,827,38.1,22.6,1.4868,3
3/25/2004,15:00:00,1.9,1084,154,8.6,924,125,986,92,1501,786,16.0,41.3,0.7462,3
6/25/2004,6:00:00,1.6,1028,-200,8.9,934,141,818,88,1743,987,20.1,57.0,1.3216,3
3/27/2005,23:00:00,1.9,1160,-200,5.6,794,284,658,120,1356,966,14.6,77.7,1.2834,3
11/10/2004,10:00:00,1.6,969,-200,6.7,843,354,857,165,1213,821,6.9,86.0,0.8632,3
11/26/2004,7:00:00,1.7,1118,-200,8.4,915,393,731,95,1289,1059,9.3,76.9,0.9007,3
9/16/2004,15:00:00,1.9,1021,-200,10.2,985,339,816,107,1524,977,23.3,46.2,1.301,3
6/27/2004,10:00:00,1.9,1110,-200,10.5,996,121,782,111,1771,1090,31.0,32.4,1.4294,3
4/10/2004,9:00:00,2.0,1112,157,8.8,931,124,869,84,1588,1011,15.0,53.1,0.8993,3
10/7/2004,22:00:00,1.7,1182,-200,11.0,1016,209,658,73,1572,1210,21.8,58.2,1.5036,3
7/23/2004,16:00:00,1.8,1085,-200,13.2,1091,130,723,129,1638,1010,42.8,13.8,1.1681,3
6/9/2004,15:00:00,1.8,1076,-200,10.9,1012,113,894,116,1665,816,40.3,16.1,1.1896,3
2/15/2005,10:00:00,1.6,974,-200,5.3,778,286,832,168,905,782,9.4,32.7,0.3855,3
6/17/2004,12:00:00,1.9,1037,-200,9.8,969,127,841,105,1728,865,27.4,37.0,1.3319,3
5/15/2004,12:00:00,1.7,1025,-200,9.4,955,111,997,94,1457,834,25.6,23.5,0.7611,3
9/17/2004,11:00:00,1.6,951,-200,8.6,926,351,902,113,1460,949,23.5,41.6,1.1884,3
7/17/2004,18:00:00,1.6,1046,-200,8.0,901,69,849,94,1464,722,37.4,17.0,1.0757,3
10/10/2004,11:00:00,1.9,1229,-200,9.0,941,220,680,68,1653,1040,24.8,59.6,1.8351,3
9/20/2004,22:00:00,2.0,1034,-200,9.9,972,230,747,115,1437,1118,23.9,38.1,1.1123,3
3/25/2004,11:00:00,1.6,1066,116,6.8,849,130,1039,98,1468,829,11.0,64.4,0.8447,3
1/10/2005,12:00:00,1.7,1335,-200,14.8,1141,482,512,133,1536,1501,13.7,67.0,1.0446,3
2/21/2005,11:00:00,2.0,1156,-200,7.0,859,387,684,210,1196,1069,6.2,77.4,0.7383,3
9/30/2004,21:00:00,1.6,1180,-200,10.5,997,143,677,84,1549,1127,22.1,61.3,1.6133,3
2/6/2005,12:00:00,1.7,968,-200,4.6,743,249,886,173,840,774,10.7,25.2,0.3242,3
8/12/2004,9:00:00,1.9,1126,-200,9.5,957,122,694,71,1841,1034,29.4,53.1,2.1362,3
5/21/2004,12:00:00,1.9,1234,-200,11.6,1037,120,788,106,1658,1037,29.7,23.7,0.9714,3
6/26/2004,7:00:00,1.8,1037,-200,10.4,993,168,779,104,1680,1158,19.7,44.1,1.0039,3
9/19/2004,13:00:00,2.0,1059,-200,11.9,1047,178,761,106,1549,841,29.6,28.6,1.1628,3
3/21/2005,13:00:00,1.8,1160,-200,7.1,862,259,636,127,1320,924,21.6,39.6,1.009,3
9/19/2004,21:00:00,1.9,1096,-200,8.8,931,228,766,121,1506,1019,24.7,46.4,1.4206,3
6/28/2004,15:00:00,2.0,1167,-200,13.1,1087,112,741,129,1820,928,40.4,20.0,1.4854,3
6/18/2004,22:00:00,1.7,1062,-200,10.2,984,84,816,98,1796,842,25.2,46.6,1.4733,3
6/9/2004,0:00:00,1.6,1020,-200,10.2,984,81,853,81,1753,1031,23.7,45.1,1.3033,3
4/26/2004,21:00:00,1.6,1017,99,6.7,842,89,1000,101,1441,846,17.3,38.8,0.7596,3
3/15/2005,15:00:00,1.9,1191,-200,10.9,1011,305,620,146,1262,903,23.6,23.2,0.6665,3
7/7/2004,11:00:00,2.0,1117,-200,11.9,1045,207,761,154,1623,1260,38.3,17.0,1.1216,3
2/6/2005,0:00:00,1.8,963,-200,4.7,749,251,900,173,834,869,4.0,39.2,0.3228,3
7/24/2004,1:00:00,1.9,1158,-200,12.1,1052,111,649,83,1785,1353,27.0,42.8,1.503,3
12/8/2004,0:00:00,1.7,1092,-200,7.0,855,194,750,84,1231,1061,15.0,59.3,1.0045,3
2/14/2005,1:00:00,1.6,1133,-200,6.0,811,215,708,136,1182,1031,10.1,58.9,0.7301,3
12/1/2004,23:00:00,2.0,1060,-200,7.5,877,327,1648,107,1313,929,11.3,83.1,1.1089,3
7/25/2004,0:00:00,1.7,1163,-200,7.9,893,90,706,83,1760,977,23.7,69.3,2.0042,3
11/13/2004,19:00:00,1.9,1030,-200,8.0,899,234,767,118,1275,836,17.7,51.5,1.0357,3
8/11/2004,10:00:00,1.8,1179,-200,9.5,957,105,680,67,1819,1131,33.6,41.0,2.0995,3
8/6/2004,14:00:00,1.7,1054,-200,10.2,985,108,735,104,1742,940,33.7,33.4,1.7186,3
4/10/2004,7:00:00,1.7,1081,157,8.2,906,150,895,72,1591,1024,11.0,71.0,0.9279,3
11/17/2004,0:00:00,1.7,974,-200,5.0,764,196,910,107,1029,992,9.5,51.0,0.6045,3
6/28/2004,12:00:00,1.9,1103,-200,12.3,1060,126,770,118,1748,940,37.5,21.5,1.3673,3
6/25/2004,1:00:00,2.0,1035,-200,10.9,1011,95,750,94,1752,1039,23.0,48.1,1.3322,3
11/26/2004,7:00:00,1.7,1118,-200,8.4,915,393,731,95,1289,1059,9.3,76.9,0.9007,3
11/22/2004,23:00:00,1.7,1335,-200,13.9,1112,444,570,130,1331,1861,7.7,71.1,0.7503,3
2/3/2005,0:00:00,1.7,1032,-200,5.6,791,242,793,156,915,1278,4.5,47.9,0.4079,3
7/18/2004,22:00:00,1.6,1147,-200,11.7,1040,123,745,102,1635,1155,29.0,27.0,1.063,3
12/15/2004,2:00:00,1.7,-200,-200,-200.0,-200,299,-200,87,-200,-200,-200.0,-200.0,-200.0,3
6/17/2004,12:00:00,1.9,1037,-200,9.8,969,127,841,105,1728,865,27.4,37.0,1.3319,3
5/31/2004,7:00:00,1.6,1108,-200,14.2,1123,167,804,83,1801,1111,17.4,50.9,1.0017,3
7/7/2004,11:00:00,2.0,1117,-200,11.9,1045,207,761,154,1623,1260,38.3,17.0,1.1216,3
4/24/2004,15:00:00,1.7,1223,192,9.0,938,91,884,89,1610,880,25.6,36.0,1.1629,3
6/25/2004,6:00:00,1.6,1028,-200,8.9,934,141,818,88,1743,987,20.1,57.0,1.3216,3
3/20/2005,22:00:00,1.9,1111,-200,6.3,825,295,679,124,1238,975,14.8,61.3,1.025,3
5/22/2004,20:00:00,1.8,1241,-200,10.9,1011,98,781,90,1748,1070,22.3,45.4,1.2088,3
8/7/2004,20:00:00,1.6,981,-200,8.4,917,78,740,93,1649,714,29.7,41.7,1.7081,3
3/13/2004,14:00:00,2.0,1207,112,8.6,924,118,1088,102,1488,850,18.0,34.8,0.7127,3
8/27/2004,16:00:00,1.6,-200,-200,-200.0,-200,96,-200,92,-200,-200,-200.0,-200.0,-200.0,3
3/22/2004,0:00:00,1.7,1161,-200,6.1,815,93,995,86,1582,909,16.1,60.0,1.0919,3
10/11/2004,22:00:00,1.9,1057,-200,8.9,934,206,743,57,1525,1041,19.0,66.1,1.4415,3
9/6/2004,8:00:00,1.9,1096,-200,8.5,921,-200,716,-200,1534,988,24.3,45.4,1.365,3
4/16/2004,1:00:00,1.9,1189,110,6.7,844,96,887,93,1566,1049,13.4,69.6,1.0688,3
3/8/2005,17:00:00,2.0,1019,-200,9.6,964,325,729,168,957,984,15.8,16.7,0.2972,3
2/19/2005,18:00:00,1.7,1110,-200,7.3,870,255,708,168,1057,1059,11.6,33.3,0.454,3
1/24/2005,9:00:00,2.0,1094,-200,9.7,967,355,682,203,1147,1136,6.9,52.8,0.5293,3
3/28/2004,20:00:00,1.8,1093,115,5.5,789,105,1102,103,1329,788,13.4,43.2,0.6623,3
7/5/2004,22:00:00,1.9,1081,-200,11.3,1025,104,738,103,1757,1059,27.3,36.8,1.3207,3
9/1/2004,22:00:00,1.7,1031,-200,9.5,958,201,700,121,1560,1074,26.6,39.9,1.3657,3
12/26/2004,13:00:00,1.8,1130,-200,5.8,803,267,772,127,1230,975,13.9,60.9,0.9644,3
4/13/2004,14:00:00,1.8,1073,181,9.7,966,128,935,87,1537,805,16.6,36.7,0.6867,3
1/16/2005,4:00:00,1.7,1003,-200,5.9,807,219,819,115,1021,1005,3.7,68.9,0.5549,3
6/1/2004,11:00:00,1.6,1173,-200,12.4,1063,201,814,86,1905,1218,20.4,63.1,1.4969,3
12/5/2004,12:00:00,1.7,1013,-200,5.6,795,209,826,81,1257,848,13.0,69.7,1.0403,3
5/26/2004,14:00:00,1.6,1027,-200,11.8,1041,128,1237,112,1345,915,32.3,13.3,0.6303,3
12/11/2004,22:00:00,2.0,1124,-200,9.0,939,292,737,118,1126,1317,11.2,45.1,0.6004,3
5/1/2004,15:00:00,1.8,1050,-200,9.2,948,80,928,82,1584,652,26.1,30.3,1.0101,3
4/5/2004,21:00:00,2.0,1243,178,8.7,928,109,852,100,1622,1079,17.5,50.9,1.009,3
12/14/2004,2:00:00,1.9,1066,-200,8.2,907,377,728,97,1174,1122,6.9,76.1,0.759,3
